id con_taxonomy res_taxonomy con_mass_mean res_mass_mean interaction_dim
"43" "Parvicorbucula socialis" "Odontella weissflogii" 3.3e-13 5.73e-12 "2D"
"44" "Parvicorbucula socialis" "Porosira glacialis" 3.3e-13 2.94e-11 "2D"
"45" "Parvicorbucula socialis" "Porosira pseudodenticulata" 3.3e-13 9.81e-11 "2D"
"46" "Parvicorbucula socialis" "Proboscia alata" 3.3e-13 1.51e-12 "2D"
"47" "Parvicorbucula socialis" "Proboscia inermi" 3.3e-13 9.94e-13 "2D"
"48" "Parvicorbucula socialis" "Proboscia truncata" 3.3e-13 1.21e-11 "2D"
"49" "Parvicorbucula socialis" "Pseudo-Nitzschia heimii" 3.3e-13 1.77e-10 "2D"
"50" "Parvicorbucula socialis" "Pseudo-Nitzschia liniola" 3.3e-13 8.13e-10 "2D"
"51" "Parvicorbucula socialis" "Pseudo-Nitzschia prolongatoides" 3.3e-13 3.74e-12 "2D"
"52" "Parvicorbucula socialis" "Pseudo-Nitzschia subcurvata" 3.3e-13 2.22e-10 "2D"
"53" "Parvicorbucula socialis" "Rhizosolenia antennata" 3.3e-13 7.78e-12 "2D"
"54" "Parvicorbucula socialis" "Stellarima microtrias" 3.3e-13 1.01e-10 "2D"
"55" "Parvicorbucula socialis" "Thalassiosira antarctica" 3.3e-13 1.14e-11 "3D"
"56" "Parvicorbucula socialis" "Thalassiosira australis" 3.3e-13 2.57e-12 "2D"
"57" "Parvicorbucula socialis" "Thalassiosira frenguelliopsis" 3.3e-13 3.54e-12 "2D"
"58" "Parvicorbucula socialis" "Thalassiosira gracilis" 3.3e-13 2.57e-12 "2D"
"59" "Parvicorbucula socialis" "Thalassiosira gracilis expecta" 3.3e-13 1.92e-11 "2D"
"60" "Parvicorbucula socialis" "Thalassiosira gravida" 3.3e-13 5.2e-12 "2D"
"61" "Parvicorbucula socialis" "Thalassiosira lentiginosa" 3.3e-13 6.35e-11 "2D"
"62" "Parvicorbucula socialis" "Thalassiosira ritscheri" 3.3e-13 6.44e-11 "2D"
"63" "Parvicorbucula socialis" "Thalassiosira trifulta" 3.3e-13 5.87e-12 "2D"
"64" "Parvicorbucula socialis" "Thalassiosira tumida" 3.3e-13 6.54e-11 "2D"
"65" "Parvicorbucula socialis" "Trichotoxon reinboldii" 3.3e-13 2.71e-13 "2D"
"66" "Parvicorbucula socialis" "Phytodetritus" 3.3e-13 -999 "2D"
"67" "Parvicorbucula socialis" "Sediment" 3.3e-13 -999 "2D"
"68" "Cassidulinoides parkerianus" "Actinocyclus actinochilus" 1.2e-09 4.06e-11 "2D"
"69" "Cassidulinoides parkerianus" "Actinocyclus spiritus" 1.2e-09 1.64e-11 "2D"
"70" "Cassidulinoides parkerianus" "Actinocyclus utricularis" 1.2e-09 4.01e-12 "2D"
"71" "Cassidulinoides parkerianus" "Azpeitia tabularis" 1.2e-09 1.14e-11 "2D"
"72" "Cassidulinoides parkerianus" "Banquisia belgicae" 1.2e-09 4.01e-12 "2D"
"73" "Cassidulinoides parkerianus" "Chaetoceros bulbosum" 1.2e-09 6.04e-13 "2D"
"74" "Cassidulinoides parkerianus" "Chaetoceros concavicornis" 1.2e-09 4.01e-12 "2D"
"75" "Cassidulinoides parkerianus" "Chaetoceros criophilum" 1.2e-09 4.01e-12 "2D"
"76" "Cassidulinoides parkerianus" "Chaetoceros dichaeta" 1.2e-09 6.04e-13 "2D"
"77" "Cassidulinoides parkerianus" "Chaetoceros flexuosum" 1.2e-09 1.67e-12 "2D"
"78" "Cassidulinoides parkerianus" "Chaetoceros neglectum" 1.2e-09 9.11e-14 "2D"
"79" "Cassidulinoides parkerianus" "Chaetoceros pelagicus" 1.2e-09 6.04e-13 "2D"
"80" "Cassidulinoides parkerianus" "Chaetoceros socialis" 1.2e-09 1.71e-13 "3D"
"81" "Cassidulinoides parkerianus" "Corethron criophilum" 1.2e-09 4.01e-12 "2D"
"82" "Cassidulinoides parkerianus" "Coscinodiscus oculoides" 1.2e-09 1.59e-09 "2D"
"83" "Cassidulinoides parkerianus" "Cylindrotheca closterium" 1.2e-09 4.89e-11 "3D"
"84" "Cassidulinoides parkerianus" "Eucampia antarctica" 1.2e-09 7.29e-12 "2D"
"85" "Cassidulinoides parkerianus" "Fragilariopsis curta" 1.2e-09 9.11e-14 "2D"
"86" "Cassidulinoides parkerianus" "Fragilariopsis cylindrus" 1.2e-09 1.53e-14 "2D"
"87" "Cassidulinoides parkerianus" "Fragilariopsis kerguelensis" 1.2e-09 3.29e-13 "2D"
"88" "Cassidulinoides parkerianus" "Fragilariopsis linearis" 1.2e-09 4.53e-13 "2D"
"89" "Cassidulinoides parkerianus" "Fragilariopsis nana" 1.2e-09 4.53e-13 "2D"
"90" "Cassidulinoides parkerianus" "Fragilariopsis obliquecostata" 1.2e-09 4.53e-13 "2D"
"91" "Cassidulinoides parkerianus" "Fragilariopsis pseudonana" 1.2e-09 9.11e-14 "2D"
"92" "Cassidulinoides parkerianus" "Fragilariopsis rhombica" 1.2e-09 4.53e-13 "2D"
"93" "Cassidulinoides parkerianus" "Fragilariopsis ritscheri" 1.2e-09 4.53e-13 "2D"
"94" "Cassidulinoides parkerianus" "Fragilariopsis separanda" 1.2e-09 6.04e-13 "2D"
"95" "Cassidulinoides parkerianus" "Fragilariopsis sublinearis" 1.2e-09 1.5e-13 "2D"
"96" "Cassidulinoides parkerianus" "Fragilariopsis vanheurckii" 1.2e-09 9.11e-14 "2D"
"97" "Cassidulinoides parkerianus" "Manguinea fusiformis" 1.2e-09 1.97e-10 "2D"
"98" "Cassidulinoides parkerianus" "Manguinea rigida" 1.2e-09 9.1e-12 "2D"
"99" "Cassidulinoides parkerianus" "Navicula glaciei" 1.2e-09 2.26e-14 "2D"
"100" "Cassidulinoides parkerianus" "Navicula schefterae" 1.2e-09 2.26e-14 "2D"
"101" "Cassidulinoides parkerianus" "Nitzschia kerguelensis" 1.2e-09 5.73e-12 "2D"
"102" "Cassidulinoides parkerianus" "Nitzschia lecointei" 1.2e-09 4.63e-11 "2D"
"103" "Cassidulinoides parkerianus" "Nitzschia neglecta" 1.2e-09 9.11e-14 "2D"
"104" "Cassidulinoides parkerianus" "Odontella weissflogii" 1.2e-09 5.73e-12 "2D"
"105" "Cassidulinoides parkerianus" "Porosira glacialis" 1.2e-09 2.94e-11 "2D"
"106" "Cassidulinoides parkerianus" "Porosira pseudodenticulata" 1.2e-09 9.81e-11 "2D"
"107" "Cassidulinoides parkerianus" "Proboscia alata" 1.2e-09 1.51e-12 "2D"
"108" "Cassidulinoides parkerianus" "Proboscia inermi" 1.2e-09 9.94e-13 "2D"
"109" "Cassidulinoides parkerianus" "Proboscia truncata" 1.2e-09 1.21e-11 "2D"
"110" "Cassidulinoides parkerianus" "Pseudo-Nitzschia heimii" 1.2e-09 1.77e-10 "2D"
"111" "Cassidulinoides parkerianus" "Pseudo-Nitzschia liniola" 1.2e-09 8.13e-10 "2D"
"112" "Cassidulinoides parkerianus" "Pseudo-Nitzschia prolongatoides" 1.2e-09 3.74e-12 "2D"
"113" "Cassidulinoides parkerianus" "Pseudo-Nitzschia subcurvata" 1.2e-09 2.22e-10 "2D"
"114" "Cassidulinoides parkerianus" "Rhizosolenia antennata" 1.2e-09 7.78e-12 "2D"
"115" "Cassidulinoides parkerianus" "Stellarima microtrias" 1.2e-09 1.01e-10 "2D"
"116" "Cassidulinoides parkerianus" "Thalassiosira antarctica" 1.2e-09 1.14e-11 "3D"
"117" "Cassidulinoides parkerianus" "Thalassiosira australis" 1.2e-09 2.57e-12 "2D"
"118" "Cassidulinoides parkerianus" "Thalassiosira frenguelliopsis" 1.2e-09 3.54e-12 "2D"
"119" "Cassidulinoides parkerianus" "Thalassiosira gracilis" 1.2e-09 2.57e-12 "2D"
"120" "Cassidulinoides parkerianus" "Thalassiosira gracilis expecta" 1.2e-09 1.92e-11 "2D"
"121" "Cassidulinoides parkerianus" "Thalassiosira gravida" 1.2e-09 5.2e-12 "2D"
"122" "Cassidulinoides parkerianus" "Thalassiosira lentiginosa" 1.2e-09 6.35e-11 "2D"
"123" "Cassidulinoides parkerianus" "Thalassiosira ritscheri" 1.2e-09 6.44e-11 "2D"
"124" "Cassidulinoides parkerianus" "Thalassiosira trifulta" 1.2e-09 5.87e-12 "2D"
"125" "Cassidulinoides parkerianus" "Thalassiosira tumida" 1.2e-09 6.54e-11 "2D"
"126" "Cassidulinoides parkerianus" "Trichotoxon reinboldii" 1.2e-09 2.71e-13 "2D"
"127" "Cassidulinoides parkerianus" "Phytodetritus" 1.2e-09 -999 "2D"
"128" "Cassidulinoides parkerianus" "Sediment" 1.2e-09 -999 "2D"
"129" "Cibicides refulgens" "Actinocyclus actinochilus" 1.2e-09 4.06e-11 "2D"
"130" "Cibicides refulgens" "Actinocyclus spiritus" 1.2e-09 1.64e-11 "2D"
"131" "Cibicides refulgens" "Actinocyclus utricularis" 1.2e-09 4.01e-12 "2D"
"132" "Cibicides refulgens" "Azpeitia tabularis" 1.2e-09 1.14e-11 "2D"
"133" "Cibicides refulgens" "Banquisia belgicae" 1.2e-09 4.01e-12 "2D"
"134" "Cibicides refulgens" "Chaetoceros bulbosum" 1.2e-09 6.04e-13 "2D"
"135" "Cibicides refulgens" "Chaetoceros concavicornis" 1.2e-09 4.01e-12 "2D"
"136" "Cibicides refulgens" "Chaetoceros criophilum" 1.2e-09 4.01e-12 "2D"
"137" "Cibicides refulgens" "Chaetoceros dichaeta" 1.2e-09 6.04e-13 "2D"
"138" "Cibicides refulgens" "Chaetoceros flexuosum" 1.2e-09 1.67e-12 "2D"
"139" "Cibicides refulgens" "Chaetoceros neglectum" 1.2e-09 9.11e-14 "2D"
"140" "Cibicides refulgens" "Chaetoceros pelagicus" 1.2e-09 6.04e-13 "2D"
"141" "Cibicides refulgens" "Chaetoceros socialis" 1.2e-09 1.71e-13 "3D"
"142" "Cibicides refulgens" "Corethron criophilum" 1.2e-09 4.01e-12 "2D"
"143" "Cibicides refulgens" "Coscinodiscus oculoides" 1.2e-09 1.59e-09 "2D"
"144" "Cibicides refulgens" "Cylindrotheca closterium" 1.2e-09 4.89e-11 "3D"
"145" "Cibicides refulgens" "Eucampia antarctica" 1.2e-09 7.29e-12 "2D"
"146" "Cibicides refulgens" "Fragilariopsis curta" 1.2e-09 9.11e-14 "2D"
"147" "Cibicides refulgens" "Fragilariopsis cylindrus" 1.2e-09 1.53e-14 "2D"
"148" "Cibicides refulgens" "Fragilariopsis kerguelensis" 1.2e-09 3.29e-13 "2D"
"149" "Cibicides refulgens" "Fragilariopsis linearis" 1.2e-09 4.53e-13 "2D"
"150" "Cibicides refulgens" "Fragilariopsis nana" 1.2e-09 4.53e-13 "2D"
"151" "Cibicides refulgens" "Fragilariopsis obliquecostata" 1.2e-09 4.53e-13 "2D"
"152" "Cibicides refulgens" "Fragilariopsis pseudonana" 1.2e-09 9.11e-14 "2D"
"153" "Cibicides refulgens" "Fragilariopsis rhombica" 1.2e-09 4.53e-13 "2D"
"154" "Cibicides refulgens" "Fragilariopsis ritscheri" 1.2e-09 4.53e-13 "2D"
"155" "Cibicides refulgens" "Fragilariopsis separanda" 1.2e-09 6.04e-13 "2D"
"156" "Cibicides refulgens" "Fragilariopsis sublinearis" 1.2e-09 1.5e-13 "2D"
"157" "Cibicides refulgens" "Fragilariopsis vanheurckii" 1.2e-09 9.11e-14 "2D"
"158" "Cibicides refulgens" "Manguinea fusiformis" 1.2e-09 1.97e-10 "2D"
"159" "Cibicides refulgens" "Manguinea rigida" 1.2e-09 9.1e-12 "2D"
"160" "Cibicides refulgens" "Navicula glaciei" 1.2e-09 2.26e-14 "2D"
"161" "Cibicides refulgens" "Navicula schefterae" 1.2e-09 2.26e-14 "2D"
"162" "Cibicides refulgens" "Nitzschia kerguelensis" 1.2e-09 5.73e-12 "2D"
"163" "Cibicides refulgens" "Nitzschia lecointei" 1.2e-09 4.63e-11 "2D"
"164" "Cibicides refulgens" "Nitzschia neglecta" 1.2e-09 9.11e-14 "2D"
"165" "Cibicides refulgens" "Odontella weissflogii" 1.2e-09 5.73e-12 "2D"
"166" "Cibicides refulgens" "Porosira glacialis" 1.2e-09 2.94e-11 "2D"
"167" "Cibicides refulgens" "Porosira pseudodenticulata" 1.2e-09 9.81e-11 "2D"
"168" "Cibicides refulgens" "Proboscia alata" 1.2e-09 1.51e-12 "2D"
"169" "Cibicides refulgens" "Proboscia inermi" 1.2e-09 9.94e-13 "2D"
"170" "Cibicides refulgens" "Proboscia truncata" 1.2e-09 1.21e-11 "2D"
"171" "Cibicides refulgens" "Pseudo-Nitzschia heimii" 1.2e-09 1.77e-10 "2D"
"172" "Cibicides refulgens" "Pseudo-Nitzschia liniola" 1.2e-09 8.13e-10 "2D"
"173" "Cibicides refulgens" "Pseudo-Nitzschia prolongatoides" 1.2e-09 3.74e-12 "2D"
"174" "Cibicides refulgens" "Pseudo-Nitzschia subcurvata" 1.2e-09 2.22e-10 "2D"
"175" "Cibicides refulgens" "Rhizosolenia antennata" 1.2e-09 7.78e-12 "2D"
"176" "Cibicides refulgens" "Stellarima microtrias" 1.2e-09 1.01e-10 "2D"
"177" "Cibicides refulgens" "Thalassiosira antarctica" 1.2e-09 1.14e-11 "3D"
"178" "Cibicides refulgens" "Thalassiosira australis" 1.2e-09 2.57e-12 "2D"
"179" "Cibicides refulgens" "Thalassiosira frenguelliopsis" 1.2e-09 3.54e-12 "2D"
"180" "Cibicides refulgens" "Thalassiosira gracilis" 1.2e-09 2.57e-12 "2D"
"181" "Cibicides refulgens" "Thalassiosira gracilis expecta" 1.2e-09 1.92e-11 "2D"
"182" "Cibicides refulgens" "Thalassiosira gravida" 1.2e-09 5.2e-12 "2D"
"183" "Cibicides refulgens" "Thalassiosira lentiginosa" 1.2e-09 6.35e-11 "2D"
"184" "Cibicides refulgens" "Thalassiosira ritscheri" 1.2e-09 6.44e-11 "2D"
"185" "Cibicides refulgens" "Thalassiosira trifulta" 1.2e-09 5.87e-12 "2D"
"186" "Cibicides refulgens" "Thalassiosira tumida" 1.2e-09 6.54e-11 "2D"
"187" "Cibicides refulgens" "Trichotoxon reinboldii" 1.2e-09 2.71e-13 "2D"
"188" "Cibicides refulgens" "Phytodetritus" 1.2e-09 -999 "2D"
"189" "Cibicides refulgens" "Sediment" 1.2e-09 -999 "2D"
"190" "Globocassidulina crassa" "Actinocyclus actinochilus" 1.2e-09 4.06e-11 "2D"
"191" "Globocassidulina crassa" "Actinocyclus spiritus" 1.2e-09 1.64e-11 "2D"
"192" "Globocassidulina crassa" "Actinocyclus utricularis" 1.2e-09 4.01e-12 "2D"
"193" "Globocassidulina crassa" "Azpeitia tabularis" 1.2e-09 1.14e-11 "2D"
"194" "Globocassidulina crassa" "Banquisia belgicae" 1.2e-09 4.01e-12 "2D"
"195" "Globocassidulina crassa" "Chaetoceros bulbosum" 1.2e-09 6.04e-13 "2D"
"196" "Globocassidulina crassa" "Chaetoceros concavicornis" 1.2e-09 4.01e-12 "2D"
"197" "Globocassidulina crassa" "Chaetoceros criophilum" 1.2e-09 4.01e-12 "2D"
"198" "Globocassidulina crassa" "Chaetoceros dichaeta" 1.2e-09 6.04e-13 "2D"
"199" "Globocassidulina crassa" "Chaetoceros flexuosum" 1.2e-09 1.67e-12 "2D"
"200" "Globocassidulina crassa" "Chaetoceros neglectum" 1.2e-09 9.11e-14 "2D"
"201" "Globocassidulina crassa" "Chaetoceros pelagicus" 1.2e-09 6.04e-13 "2D"
"202" "Globocassidulina crassa" "Chaetoceros socialis" 1.2e-09 1.71e-13 "3D"
"203" "Globocassidulina crassa" "Corethron criophilum" 1.2e-09 4.01e-12 "2D"
"204" "Globocassidulina crassa" "Coscinodiscus oculoides" 1.2e-09 1.59e-09 "2D"
"205" "Globocassidulina crassa" "Cylindrotheca closterium" 1.2e-09 4.89e-11 "3D"
"206" "Globocassidulina crassa" "Eucampia antarctica" 1.2e-09 7.29e-12 "2D"
"207" "Globocassidulina crassa" "Fragilariopsis curta" 1.2e-09 9.11e-14 "2D"
"208" "Globocassidulina crassa" "Fragilariopsis cylindrus" 1.2e-09 1.53e-14 "2D"
"209" "Globocassidulina crassa" "Fragilariopsis kerguelensis" 1.2e-09 3.29e-13 "2D"
"210" "Globocassidulina crassa" "Fragilariopsis linearis" 1.2e-09 4.53e-13 "2D"
"211" "Globocassidulina crassa" "Fragilariopsis nana" 1.2e-09 4.53e-13 "2D"
"212" "Globocassidulina crassa" "Fragilariopsis obliquecostata" 1.2e-09 4.53e-13 "2D"
"213" "Globocassidulina crassa" "Fragilariopsis pseudonana" 1.2e-09 9.11e-14 "2D"
"214" "Globocassidulina crassa" "Fragilariopsis rhombica" 1.2e-09 4.53e-13 "2D"
"215" "Globocassidulina crassa" "Fragilariopsis ritscheri" 1.2e-09 4.53e-13 "2D"
"216" "Globocassidulina crassa" "Fragilariopsis separanda" 1.2e-09 6.04e-13 "2D"
"217" "Globocassidulina crassa" "Fragilariopsis sublinearis" 1.2e-09 1.5e-13 "2D"
"218" "Globocassidulina crassa" "Fragilariopsis vanheurckii" 1.2e-09 9.11e-14 "2D"
"219" "Globocassidulina crassa" "Manguinea fusiformis" 1.2e-09 1.97e-10 "2D"
"220" "Globocassidulina crassa" "Manguinea rigida" 1.2e-09 9.1e-12 "2D"
"221" "Globocassidulina crassa" "Navicula glaciei" 1.2e-09 2.26e-14 "2D"
"222" "Globocassidulina crassa" "Navicula schefterae" 1.2e-09 2.26e-14 "2D"
"223" "Globocassidulina crassa" "Nitzschia kerguelensis" 1.2e-09 5.73e-12 "2D"
"224" "Globocassidulina crassa" "Nitzschia lecointei" 1.2e-09 4.63e-11 "2D"
"225" "Globocassidulina crassa" "Nitzschia neglecta" 1.2e-09 9.11e-14 "2D"
"226" "Globocassidulina crassa" "Odontella weissflogii" 1.2e-09 5.73e-12 "2D"
"227" "Globocassidulina crassa" "Porosira glacialis" 1.2e-09 2.94e-11 "2D"
"228" "Globocassidulina crassa" "Porosira pseudodenticulata" 1.2e-09 9.81e-11 "2D"
"229" "Globocassidulina crassa" "Proboscia alata" 1.2e-09 1.51e-12 "2D"
"230" "Globocassidulina crassa" "Proboscia inermi" 1.2e-09 9.94e-13 "2D"
"231" "Globocassidulina crassa" "Proboscia truncata" 1.2e-09 1.21e-11 "2D"
"232" "Globocassidulina crassa" "Pseudo-Nitzschia heimii" 1.2e-09 1.77e-10 "2D"
"233" "Globocassidulina crassa" "Pseudo-Nitzschia liniola" 1.2e-09 8.13e-10 "2D"
"234" "Globocassidulina crassa" "Pseudo-Nitzschia prolongatoides" 1.2e-09 3.74e-12 "2D"
"235" "Globocassidulina crassa" "Pseudo-Nitzschia subcurvata" 1.2e-09 2.22e-10 "2D"
"236" "Globocassidulina crassa" "Rhizosolenia antennata" 1.2e-09 7.78e-12 "2D"
"237" "Globocassidulina crassa" "Stellarima microtrias" 1.2e-09 1.01e-10 "2D"
"238" "Globocassidulina crassa" "Thalassiosira antarctica" 1.2e-09 1.14e-11 "3D"
"239" "Globocassidulina crassa" "Thalassiosira australis" 1.2e-09 2.57e-12 "2D"
"240" "Globocassidulina crassa" "Thalassiosira frenguelliopsis" 1.2e-09 3.54e-12 "2D"
"241" "Globocassidulina crassa" "Thalassiosira gracilis" 1.2e-09 2.57e-12 "2D"
"242" "Globocassidulina crassa" "Thalassiosira gracilis expecta" 1.2e-09 1.92e-11 "2D"
"243" "Globocassidulina crassa" "Thalassiosira gravida" 1.2e-09 5.2e-12 "2D"
"244" "Globocassidulina crassa" "Thalassiosira lentiginosa" 1.2e-09 6.35e-11 "2D"
"245" "Globocassidulina crassa" "Thalassiosira ritscheri" 1.2e-09 6.44e-11 "2D"
"246" "Globocassidulina crassa" "Thalassiosira trifulta" 1.2e-09 5.87e-12 "2D"
"247" "Globocassidulina crassa" "Thalassiosira tumida" 1.2e-09 6.54e-11 "2D"
"248" "Globocassidulina crassa" "Trichotoxon reinboldii" 1.2e-09 2.71e-13 "2D"
"249" "Globocassidulina crassa" "Phytodetritus" 1.2e-09 -999 "2D"
"250" "Globocassidulina crassa" "Sediment" 1.2e-09 -999 "2D"
"251" "Lenticulina antarctica" "Actinocyclus actinochilus" 1.2e-09 4.06e-11 "2D"
"252" "Lenticulina antarctica" "Actinocyclus spiritus" 1.2e-09 1.64e-11 "2D"
"253" "Lenticulina antarctica" "Actinocyclus utricularis" 1.2e-09 4.01e-12 "2D"
"254" "Lenticulina antarctica" "Azpeitia tabularis" 1.2e-09 1.14e-11 "2D"
"255" "Lenticulina antarctica" "Banquisia belgicae" 1.2e-09 4.01e-12 "2D"
"256" "Lenticulina antarctica" "Chaetoceros bulbosum" 1.2e-09 6.04e-13 "2D"
"257" "Lenticulina antarctica" "Chaetoceros concavicornis" 1.2e-09 4.01e-12 "2D"
"258" "Lenticulina antarctica" "Chaetoceros criophilum" 1.2e-09 4.01e-12 "2D"
"259" "Lenticulina antarctica" "Chaetoceros dichaeta" 1.2e-09 6.04e-13 "2D"
"260" "Lenticulina antarctica" "Chaetoceros flexuosum" 1.2e-09 1.67e-12 "2D"
"261" "Lenticulina antarctica" "Chaetoceros neglectum" 1.2e-09 9.11e-14 "2D"
"262" "Lenticulina antarctica" "Chaetoceros pelagicus" 1.2e-09 6.04e-13 "2D"
"263" "Lenticulina antarctica" "Chaetoceros socialis" 1.2e-09 1.71e-13 "3D"
"264" "Lenticulina antarctica" "Corethron criophilum" 1.2e-09 4.01e-12 "2D"
"265" "Lenticulina antarctica" "Coscinodiscus oculoides" 1.2e-09 1.59e-09 "2D"
"266" "Lenticulina antarctica" "Cylindrotheca closterium" 1.2e-09 4.89e-11 "3D"
"267" "Lenticulina antarctica" "Eucampia antarctica" 1.2e-09 7.29e-12 "2D"
"268" "Lenticulina antarctica" "Fragilariopsis curta" 1.2e-09 9.11e-14 "2D"
"269" "Lenticulina antarctica" "Fragilariopsis cylindrus" 1.2e-09 1.53e-14 "2D"
"270" "Lenticulina antarctica" "Fragilariopsis kerguelensis" 1.2e-09 3.29e-13 "2D"
"271" "Lenticulina antarctica" "Fragilariopsis linearis" 1.2e-09 4.53e-13 "2D"
"272" "Lenticulina antarctica" "Fragilariopsis nana" 1.2e-09 4.53e-13 "2D"
"273" "Lenticulina antarctica" "Fragilariopsis obliquecostata" 1.2e-09 4.53e-13 "2D"
"274" "Lenticulina antarctica" "Fragilariopsis pseudonana" 1.2e-09 9.11e-14 "2D"
"275" "Lenticulina antarctica" "Fragilariopsis rhombica" 1.2e-09 4.53e-13 "2D"
"276" "Lenticulina antarctica" "Fragilariopsis ritscheri" 1.2e-09 4.53e-13 "2D"
"277" "Lenticulina antarctica" "Fragilariopsis separanda" 1.2e-09 6.04e-13 "2D"
"278" "Lenticulina antarctica" "Fragilariopsis sublinearis" 1.2e-09 1.5e-13 "2D"
"279" "Lenticulina antarctica" "Fragilariopsis vanheurckii" 1.2e-09 9.11e-14 "2D"
"280" "Lenticulina antarctica" "Manguinea fusiformis" 1.2e-09 1.97e-10 "2D"
"281" "Lenticulina antarctica" "Manguinea rigida" 1.2e-09 9.1e-12 "2D"
"282" "Lenticulina antarctica" "Navicula glaciei" 1.2e-09 2.26e-14 "2D"
"283" "Lenticulina antarctica" "Navicula schefterae" 1.2e-09 2.26e-14 "2D"
"284" "Lenticulina antarctica" "Nitzschia kerguelensis" 1.2e-09 5.73e-12 "2D"
"285" "Lenticulina antarctica" "Nitzschia lecointei" 1.2e-09 4.63e-11 "2D"
"286" "Lenticulina antarctica" "Nitzschia neglecta" 1.2e-09 9.11e-14 "2D"
"287" "Lenticulina antarctica" "Odontella weissflogii" 1.2e-09 5.73e-12 "2D"
