species,Code,Environment
Parvicorbucula socialis,66,Pelagic
Cassidulinoides parkerianus,67,Benthic
Cibicides refulgens,68,Benthic
Globocassidulina crassa,69,Benthic
Lenticulina antarctica,70,Benthic
Neogloboquadriana pachyderma,71,Benthic
Euphausia crystallorophias,72,Pelagic
Euphausia frigida,73,Pelagic
Thysanoessa macrura,74,Pelagic
Euphausia superba,75,Pelagic
Ampelisca richardsoni,76,Benthopelagic
Abyssorchomene rossi,77,Benthopelagic
Abyssorchomene plebs,78,Benthopelagic
Abyssorchomene nodimanus,79,Benthopelagic
Eusirus antarcticus,80,Benthopelagic
Eusirus perdentatus,81,Benthopelagic
Alexandrella mixta,82,Benthopelagic
Tryphosella murrayi,83,Benthopelagic
Waldeckia obesa,84,Benthopelagic
Parschisturella ceruviata,85,Benthopelagic
Paramoera walkeri,86,Benthopelagic
Epimeriella walkeri,87,Benthopelagic
Cyllopus lucasii,88,Pelagic
Hyperiella dilatata,89,Pelagic
Vibilia antarctica,90,Pelagic
Vibilia stebbingi,91,Pelagic
Hyperia macrocephala,92,Pelagic
Epimeria similis,93,Benthopelagic
Epimeria robusta,94,Benthopelagic
Epimeria macrodonta,95,Benthopelagic
Epimeria rubrieques,96,Benthopelagic
Epimeria georgiana,97,Benthopelagic
Melphidippa antarctica,98,Benthopelagic
Oediceroides emarginatus,99,Benthopelagic
Oediceroides calmani,100,Benthopelagic
Maxilliphimedia longipes,101,Benthopelagic
Gnathiphimedia mandibularis,102,Benthopelagic
Echiniphimedia hodgsoni,103,Benthopelagic
Iphimediella cyclogena,104,Benthopelagic
Paraceradocus gibber,105,Benthopelagic
Liljeborgia georgiana,106,Benthopelagic
Momoculodes scabriculosus,107,Benthopelagic
Uristes gigas,108,Benthopelagic
Eurythenes gryllus,109,Benthopelagic
Bathypanoploea schellenbergi,110,Benthopelagic
Pseudorchomene coatsi,111,Benthopelagic
Heterophoxus videns,112,Benthopelagic
Haplocheira plumosa,113,Benthopelagic
Oradarea edentata,114,Benthopelagic
Djerboa furcipes,115,Benthopelagic
Rhachotropis antarctica,116,Benthopelagic
Themisto gaudichaudii,117,Pelagic
Primno macropa,118,Pelagic
Notocrangon antarcticus,119,Benthic
Chorismus antarcticus,120,Benthic
Nematocarcinus lanceopes,121,Benthic
Rhincalanus gigas,122,Pelagic
Calanus propinquus,123,Pelagic
Calanoides acutus,124,Pelagic
Metridia gerlachei,125,Pelagic
Paraeuchaeta antarctica,126,Benthopelagic
Eucopia australis,127,Benthopelagic
Euchaetomera antarcticus,128,Benthopelagic
Antarctomysis maxima,129,Benthopelagic
Ceratoserolis meridionalis,130,Benthic
Frontoserolis bouvieri,131,Benthic
Natatolana obtusata,132,Benthic
Natatolana oculata,133,Benthic
Natatolana meridionalis,134,Benthic
Munna globicauda,135,Benthic
Serolella bouveri,136,Benthic
Serolis polita,137,Benthic
Gnathia calva,138,Benthic
Glyptonotus antarcticus,139,Benthic
Austrosignum grande,140,Benthic
Aega antarctica,141,Benthic
Arcturidae,142,Benthic
Conchoecia hettacra,143,Benthic
Alacia hettacra,144,Benthic
Alacia belgicae,145,Benthic
Metaconchoecia isocheira,146,Benthic
Boroecia antipoda,147,Benthic
Conchoecia antipoda,148,Benthic
Nototanais antarcticus,149,Benthic
Peraeospinosus pushkini,150,Benthic
Nototanais dimorphus,151,Benthic
Eudorella splendida,152,Benthic
Vaunthompsonia indermis,153,Benthic
Camylaspis maculata,154,Benthic
Diastylis mawsoni,155,Benthic
Ekleptostylis debroyeri,156,Benthic
Pentanymphon antarcticum,157,Benthic
Ammothea carolinensis,158,Benthic
Colossendeis scotti,159,Benthic
Nymphon gracillimum,160,Benthic
Pelagobia longicirrata,161,Pelagic
Rhynchonereella bongraini,162,Benthic
Laetmonice producta,163,Benthic
Harmothoe spinosa,164,Benthic
Harmothoe crosetensis,165,Benthic
Harmotoe hartmanae,166,Benthic
Polyeunoa laevis,167,Benthic
Barrukia cristata,168,Benthic
Eulagisca gigantea,169,Benthic
Eunoe spica,170,Benthic
Eunoe hartmanae,171,Benthic
Eunoe spica spicoides,172,Benthic
Vanadis antarctica,173,Benthic
Pista spinifera,174,Benthic
Phyllocomus crocea,175,Benthic
Terebella ehlersi,176,Benthic
Eucranta mollis,177,Benthic
Promachocrinus kerguelensis,178,Benthic
Anthometra adriani,179,Benthic
Acodontaster conspicuus,180,Benthic
Acodontaster capitatus,181,Benthic
Acodontaster hodgsoni,182,Benthic
Bathybiaster loripes,183,Benthic
Cuenotaster involutus,184,Benthic
Diplasterias brucei,185,Benthic
Luidiaster gerlachei,186,Benthic
Labidiaster annulatus,187,Benthic
Lophaster gaini,188,Benthic
Notasterias armata,189,Benthic
Solaster dawsoni,190,Benthic
Odontaster meridionalis,191,Benthic
Odontaster validus,192,Benthic
Kampylaster incurvatus,193,Benthic
Cycethra verrucosa mawsoni,194,Benthic
Notasterias stylophora,195,Benthic
Notioceramus anomalus,196,Benthic
Perknaster sladeni,197,Benthic
Pteraster affinis aculeatus,198,Benthic
Perknaster densus,199,Benthic
Perknaster fuscus antarcticus,200,Benthic
Macroptychaster accrescens,201,Benthic
Lysasterias perrieri,202,Benthic
Psilaster charcoti,203,Benthic
Porania antarctica,204,Benthic
Porania antarctica glabra,205,Benthic
Ophioperla koehleri,206,Benthic
Ophionotus victoriae,207,Benthic
Ophioceres incipiens,208,Benthic
Ophiurolepis brevirima,209,Benthic
Ophiurolepis gelida,210,Benthic
Ophiosparte gigas,211,Benthic
Ophioperla ludwigi,212,Benthic
Ophiacantha antarctica,213,Benthic
Astrotoma agassizii,214,Benthic
Astrochlamys bruneus,215,Benthic
Gorgonocephalus chiliensis,216,Benthic
Sterechinus neumayeri,217,Benthic
Sterechinus antarcticus,218,Benthic
Ctenocidaris gigantea,219,Benthic
Ctenocidaris spinosa,220,Benthic
Notocidaris mortenseni,221,Benthic
Abatus curvidens,222,Benthic
Abatus cavernosus,223,Benthic
Abatus nimrodi,224,Benthic
Abatus shackeltoni,225,Benthic
Austrocidaris canaliculata,226,Benthic
Aporocidaris milleri,227,Benthic
Ctenocidaris perrieri,228,Benthic
Ctenocidaris gilberti,229,Benthic
Mesothuria lactea,230,Benthic
Achlyonice violaecuspidata,231,Benthic
Bathyplotes gourdoni,232,Benthic
Bathyplotes bongraini,233,Benthic
Scotoplanes globosa,234,Benthic
Molpadia musculus,235,Benthic
Ypsilocucumis turricata,236,Benthic
Psolidium incertum,237,Benthic
Trachythyone parva,238,Benthic
Laetmogone wyvillethompsoni,239,Benthic
Pseudostichopus mollis,240,Benthic
Pseudostichopus villosus,241,Benthic
Elpidia glacialis,242,Benthic
Chiridota weddellensis,243,Benthic
Ekmocucumis steineni,244,Benthic
Ekmocucumis turqueti,245,Benthic
Abyssocucumis liouvillei,246,Benthic
Psolus dubiosus,247,Benthic
Psolus charcoti,248,Benthic
Psolus antarcticus,249,Benthic
Echinopsolus acanthocola,250,Benthic
Ekmocucumis turqueti turqueti,251,Benthic
Taeniogyrus contortus,252,Benthic
Silicularia rosea,253,Benthic
Tubularia ralphii,254,Benthic
Oswaldella antarctica,255,Benthic
Monocaulus parvula,256,Benthic
Rhodalia miranda,257,Pelagic
Atolla wyvillei,258,Pelagic
Dimophyes arctica,259,Pelagic
Diphyes antarctica,260,Pelagic
Bargmannia,261,Pelagic
Solmundella bitentaculata,262,Pelagic
Dipulmaris antarctica,263,Pelagic
Desmonema glaciale,264,Pelagic
Periphylla periphylla,265,Pelagic
Urticinopsis antarctica,266,Benthic
Isotealia antarctica,267,Benthic
Edwardsia meridionalis,268,Benthic
Isosicyonis alba,269,Benthic
Primnoisis antarctica,270,Benthic
Gersemia antarctica,271,Benthic
Clavularia frankiliana,272,Benthic
Primnoella,273,Benthic
Ainigmaptilon antarcticus,274,Benthic
Armadillogorgia cyathella,275,Benthic
Alcyonium antarcticum,276,Benthic
Anthomastus bathyproctus,277,Benthic
Nuttallochiton mirandus,278,Benthic
Callochiton gaussi,279,Benthic
Notaeolidia gigas,280,Benthic
Austrodoris kerguelenensis,281,Benthic
Trophon longstaffi,282,Benthic
Tritonia antarctica,283,Benthic
Aegires albus,284,Benthic
Bathydoris clavigera,285,Benthic
Tritoniella belli,286,Benthic
Harpovoluta charcoti,287,Benthic
Puncturella conica,288,Benthic
Neobuccinum eatoni,289,Benthic
Marseniopsis mollis,290,Benthic
Marseniopsis conica,291,Benthic
Parmaphorella mawsoni,292,Benthic
Amauropsis rossiana,293,Benthic
Newnesia antarctica,294,Benthic
Falsimargarita gemma,295,Benthic
Marginella ealesa,296,Benthic
Pontiothauma ergata,297,Benthic
Probuccinum tenuistriatum,298,Benthic
Nacella concinna,299,Benthic
Clione limacina,300,Pelagic
Clione antarctica,301,Pelagic
Clio pyramidata,302,Pelagic
Limacina helicina antarctica,303,Pelagic
Pareledone charcoti,304,Benthic
Pareledone antarctica,305,Benthic
Psychroteuthis glacialis,306,Pelagic
Moroteuthis ingens,307,Pelagic
Alluroteuthis antarcticus,308,Pelagic
Galiteuthis glacialis,309,Pelagic
Kondakovia longimana,310,Pelagic
Gonatus antarcticus,311,Pelagic
Mesonychoteuthis hamiltoni,312,Pelagic
Martialia hyadesi,313,Pelagic
Cyclocardia astartoides,314,Benthic
Yolida eightsi,315,Benthic
Laternula elliptica,316,Benthic
Limopsis lillei,317,Benthic
Limopsis marionensis,318,Benthic
Lissarca notorcadensis,319,Benthic
Propeleda longicaudata,320,Benthic
Cadulus dalli antarcticum,321,Benthic
Fissidentalium majorinum,322,Benthic
Cinachyra antarctica,323,Benthic
Cinachyra barbata,324,Benthic
Bathydorus spinosus,325,Benthic
Iophon radiatus,326,Benthic
Kirkpatrickia variolosa,327,Benthic
Rossella racovitzae,328,Benthic
Stylocordyla borealis,329,Benthic
Homaxinella balfourensis,330,Benthic
Scolymastra joubini,331,Benthic
Latrunculia apicalis,332,Benthic
Latrunculia brevis,333,Benthic
Tetilla leptoderma,334,Benthic
Haliclona dancoi,335,Benthic
Mycale acerata,336,Benthic
Rossella antarctica,337,Benthic
Rossella tarenja,338,Benthic
Haliclona tenella,339,Benthic
Clathria pauper,340,Benthic
Calyx arcuarius,341,Benthic
Isodyctia toxophila,342,Benthic
Isodyctia cavicornuta,343,Benthic
Isodyctia steifera,344,Benthic
Axociella nidificata,345,Benthic
Rossella nuda,346,Benthic
Tentorium papillatum,347,Benthic
Tentorium semisuberites,348,Benthic
Tedania oxeata,349,Benthic
Tedania tantulata,350,Benthic
Tedania vanhoeffeni,351,Benthic
Phorbas areolatus,352,Benthic
Phorbas glaberrima,353,Benthic
Polymastia invaginata,354,Benthic
Polymastia isidis,355,Benthic
Anoxycalyx joubini,356,Benthic
Beroe cucumis,357,Pelagic
Lyrocteis flavopallidus,358,Pelagic
Callianira antarctica,359,Pelagic
Baseodiscus antarcticus,360,Benthic
Lineus longifissus,361,Benthic
Parborlasia corrugatus,362,Benthic
Phascolion strombi,363,Benthic
Golfingia nordenskojoeldi,364,Benthic
Golfingia mawsoni,365,Benthic
Golfingia ohlini,366,Benthic
Golfingia anderssoni,367,Benthic
Golfingia margaritacea margaritacea,368,Benthic
Alomasoma belyaevi,369,Benthic
Echiurus antarcticus,370,Benthic
Hamingia,371,Benthic
Maxmuelleria faex,372,Benthic
Flustra angusta,373,Benthic
Camptoplites tricornis,374,Benthic
Nematoflustra flagellata,375,Benthic
Austroflustra vulgaris,376,Benthic
Melicerita obliqua,377,Benthic
Systenopora contracta,378,Benthic
Flustra antarctica,379,Benthic
Fasciculiporoides ramosa,380,Benthic
Reteporella hippocrepis,381,Benthic
Lageneschara lyrulata,382,Benthic
Isoschizoporella tricuspis,383,Benthic
Caulastraea curvata,384,Benthic
Chondriovelum adeliense,385,Benthic
Bostrychopora dentata,386,Benthic
Liothyrella uva,387,Benthic
Magellania joubini,388,Benthic
Magellania fragilis,389,Benthic
Crania lecointei,390,Benthic
Compsothyris racovitzae,391,Benthic
Liothyrella uva antarctica,392,Benthic
Eukrohnia hamata,393,Pelagic
Pseudosagitta gazellae,394,Pelagic
Sagitta marri,395,Pelagic
Pseudosagitta maxima,396,Pelagic
Cephalodiscus,397,Benthic
Molgula pedunculata,398,Benthic
Ascidia challengeri,399,Benthic
Corella eumyota,400,Benthic
Aplidium vastum,401,Benthic
Synoicum adareanum,402,Benthic
Cnemidocarpa verrucosa,403,Benthic
Sycozoa sigillinoides,404,Benthic
Pyura bouvetensis,405,Benthic
Pyura discoveryi,406,Benthic
Pyura setosa,407,Benthic
Pyura tunicata,408,Benthic
Salpa thompsoni,409,Pelagic
Salpa gerlachei,410,Pelagic
Ihlea racovitzai,411,Pelagic
Artedidraco orianae,412,Demersal
Artedidraco loennbergi,413,Demersal
Artedidraco skottsbergi,414,Demersal
Dolloidraco longedorsalis,415,Demersal
Pogonophryne marmorata,416,Demersal
Pogonophryne phyllopogon,417,Demersal
Pogonophryne permitini,418,Demersal
Pogonophryne scotti,419,Demersal
Pogonophryne barsukovi,420,Demersal
Cygnodraco mawsoni,421,Demersal
Gerlachea australis,422,Benthopelagic
Gymnodraco acuticeps,423,Demersal
Prionodraco evansii,424,Demersal
Racovitzia glacialis,425,Bathydemersal
Chaenodraco wilsoni,426,Benthopelagic
Chionodraco hamatus,427,Demersal
Chionodraco myersi,428,Demersal
Cryodraco antarcticus,429,Demersal
Dacodraco hunteri,430,Demersal
Pagetopsis maculatus,431,Demersal
Aethotaxis mitopteryx,432,Benthopelagic
Dissostichus mawsoni,433,Pelagic
Trematomus eulepidotus,434,Benthopelagic
Trematomus lepidorhinus,435,Benthopelagic
Trematomus loennbergii,436,Benthopelagic
Trematomus nicolai,437,Benthopelagic
Trematomus pennellii,438,Demersal
Trematomus scotti,439,Demersal
Pleuragramma antarcticum,440,Demersal
Notothenia marmorata,441,Demersal
Notothenia coriiceps,442,Demersal
Trematomus bernacchii,443,Demersal
Trematomus hansoni,444,Benthopelagic
Macrourus holotrachys,445,Benthopelagic
Macrourus whitsoni,446,Benthopelagic
Electrona antarctica,447,Pelagic
Harpagifer antarcticus,448,Demersal
Bathylagus antarcticus,449,Pelagic
Notolepis coatsi,450,Pelagic
Gymnoscopelus braueri,451,Pelagic
Gymnoscopelus opisthopterus,452,Pelagic
Gymnoscopelus nicholsi,453,Pelagic
Protomyctophum bolini,454,Pelagic
Pagetopsis macropterus,455,Demersal
Muraenolepis marmoratus,456,Benthopelagic
Muraenolepis microps,457,Benthopelagic
Pachycara brachycephalum,458,Demersal
Champsocephalus gunnari,459,Pelagic
Fulmarus glacialoides,460,Land-based
Thalassoica antarctica,461,Land-based
Halobaena caerulea,462,Land-based
Daption capense,463,Land-based
Pagodroma nivea,464,Land-based
Aphrodroma brevirostris,465,Land-based
Macronectes halli,466,Land-based
Macronectes giganteus,467,Land-based
Procellaria aequinoctialis,468,Land-based
Oceanites oceanicus,469,Land-based
Sterna vittata,470,Land-based
Sterna paradisaea,471,Land-based
Pachyptila desolata,472,Land-based
Aptenodytes forsteri,473,Land-based
Pygoscelis adeliae,474,Land-based
Lobodon carcinophaga,475,Land-based
Hydrurga leptonyx,476,Land-based
Arctocephalus gazella,477,Land-based
Mirounga leonina,478,Land-based
Ommatophoca rossii,479,Land-based
Leptonychotes weddelli,480,Land-based
Balaenoptera musculus,481,Benthopelagic
Balaenoptera physalus,482,Benthopelagic
Balaenoptera acutorostrata,483,Benthopelagic
Physeter macrocephalus,484,Benthopelagic
Megaptera novaeangliae,485,Benthopelagic
Orcinus orca,486,Benthopelagic
Lagenorhynchus cruciger,487,Benthopelagic
Tursiops truncatus,488,Benthopelagic
